epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.48379629850387573,2.6289403438568115,0.001,0.30300694704055786,3.255422592163086
1,0.5470678806304932,1.905737042427063,0.001,0.3816499710083008,2.1266441345214844
2,0.5765817761421204,1.560156226158142,0.001,0.4479568302631378,1.7301242351531982
3,0.5920138955116272,1.37753164768219,0.001,0.44255974888801575,1.816006064414978
4,0.6124614477157593,1.2794008255004883,0.001,0.43099460005760193,1.8289244174957275
5,0.6207561492919922,1.2178174257278442,0.001,0.43484964966773987,1.7325239181518555
6,0.6329089403152466,1.1691383123397827,0.001,0.4464147984981537,1.9613467454910278
7,0.6415895223617554,1.112768530845642,0.001,0.5851966142654419,1.5297987461090088
8,0.6531635522842407,1.080999732017517,0.001,0.4942174255847931,1.6446290016174316
9,0.6512345671653748,1.0722019672393799,0.001,0.572089433670044,1.3108664751052856
10,0.6680169701576233,1.0295861959457397,0.001,0.34464147686958313,2.797647476196289
11,0.6687885522842407,1.0200111865997314,0.001,0.5651503205299377,1.2278932332992554
12,0.6749614477157593,0.965783417224884,0.001,0.5983037948608398,1.3114345073699951
13,0.678626537322998,0.9677298069000244,0.001,0.4194294512271881,2.0661723613739014
14,0.6842206716537476,0.9549588561058044,0.001,0.6592135429382324,1.0312037467956543
15,0.6925154328346252,0.954162061214447,0.001,0.5936776995658875,1.273760199546814
16,0.7013888955116272,0.9244464635848999,0.001,0.3986121714115143,2.0218873023986816
17,0.6938657164573669,0.9346050024032593,0.001,0.6060138940811157,1.4323371648788452
18,0.7019675970077515,0.908648669719696,0.001,0.4749421775341034,2.7337801456451416
19,0.703125,0.9051723480224609,0.001,0.47340014576911926,1.7648195028305054
20,0.7046682238578796,0.8828743100166321,0.001,0.5042405724525452,1.4893616437911987
21,0.7164351940155029,0.8677369356155396,0.001,0.6545875072479248,1.0159025192260742
22,0.7216435074806213,0.8573495149612427,0.001,0.5096376538276672,1.7601953744888306
23,0.7349537014961243,0.8390025496482849,0.001,0.581341564655304,1.2761896848678589
24,0.7164351940155029,0.8494448065757751,0.001,0.49807247519493103,1.6358586549758911
25,0.7241512537002563,0.8387236595153809,0.001,0.5851966142654419,1.175814151763916
26,0.7403549551963806,0.8153001070022583,0.001,0.6329992413520813,1.1252193450927734
27,0.7307098507881165,0.8287272453308105,0.001,0.5381649732589722,1.5684617757797241
28,0.7285879850387573,0.8224231004714966,0.001,0.6252891421318054,1.0209840536117554
29,0.7353395223617554,0.8042646646499634,0.001,0.590593695640564,1.2326910495758057
30,0.7717978358268738,0.7132678627967834,0.000100000005,0.7501927614212036,0.7897211313247681
